provincia_id,provincia_nombre,genero,anio_cambio,cantidad
6,Buenos Aires,F,2011,5
6,Buenos Aires,M,2011,4
6,Buenos Aires,F,2012,504
6,Buenos Aires,M,2012,97
6,Buenos Aires,F,2013,344
6,Buenos Aires,M,2013,47
6,Buenos Aires,F,2014,153
6,Buenos Aires,M,2014,41
6,Buenos Aires,F,2015,204
6,Buenos Aires,M,2015,64
6,Buenos Aires,F,2016,160
6,Buenos Aires,M,2016,66
6,Buenos Aires,F,2017,155
6,Buenos Aires,M,2017,91
6,Buenos Aires,F,2018,172
6,Buenos Aires,M,2018,163
6,Buenos Aires,F,2019,210
6,Buenos Aires,M,2019,318
6,Buenos Aires,F,2020,95
6,Buenos Aires,M,2020,165
6,Buenos Aires,F,2021,343
6,Buenos Aires,M,2021,527
6,Buenos Aires,X,2021,89
6,Buenos Aires,F,2022,432
6,Buenos Aires,M,2022,668
6,Buenos Aires,X,2022,264
6,Buenos Aires,F,2023,435
6,Buenos Aires,M,2023,859
6,Buenos Aires,X,2023,310
6,Buenos Aires,F,2024,22
6,Buenos Aires,M,2024,36
6,Buenos Aires,X,2024,79
10,Catamarca,F,2012,18
10,Catamarca,M,2012,1
10,Catamarca,F,2013,8
10,Catamarca,M,2013,3
10,Catamarca,F,2014,3
10,Catamarca,F,2015,6
10,Catamarca,M,2015,1
10,Catamarca,F,2016,9
10,Catamarca,M,2016,2
10,Catamarca,F,2017,9
10,Catamarca,M,2017,3
10,Catamarca,F,2018,5
10,Catamarca,M,2018,1
10,Catamarca,F,2019,6
10,Catamarca,M,2019,3
10,Catamarca,F,2020,8
10,Catamarca,M,2020,3
10,Catamarca,F,2021,13
10,Catamarca,M,2021,6
10,Catamarca,X,2021,1
10,Catamarca,F,2022,17
10,Catamarca,M,2022,8
10,Catamarca,X,2022,4
10,Catamarca,F,2023,15
10,Catamarca,M,2023,20
10,Catamarca,X,2023,6
22,Chaco,F,2012,20
22,Chaco,M,2012,3
22,Chaco,F,2013,15
22,Chaco,M,2013,2
22,Chaco,F,2014,3
22,Chaco,F,2015,10
22,Chaco,M,2015,5
22,Chaco,F,2016,14
22,Chaco,F,2017,5
22,Chaco,M,2017,2
22,Chaco,F,2018,9
22,Chaco,M,2018,5
22,Chaco,F,2019,13
22,Chaco,M,2019,10
22,Chaco,F,2020,5
22,Chaco,M,2020,3
22,Chaco,F,2021,24
22,Chaco,M,2021,12
22,Chaco,X,2021,2
22,Chaco,F,2022,23
22,Chaco,M,2022,19
22,Chaco,X,2022,3
22,Chaco,F,2023,22
22,Chaco,M,2023,17
22,Chaco,X,2023,3
22,Chaco,F,2024,1
22,Chaco,X,2024,2
26,Chubut,F,2011,2
26,Chubut,F,2012,30
26,Chubut,M,2012,5
26,Chubut,F,2013,13
26,Chubut,M,2013,3
26,Chubut,F,2014,9
26,Chubut,M,2014,6
26,Chubut,F,2015,2
26,Chubut,M,2015,4
26,Chubut,F,2016,11
26,Chubut,M,2016,3
26,Chubut,F,2017,1
26,Chubut,M,2017,3
26,Chubut,F,2018,2
26,Chubut,M,2018,10
26,Chubut,F,2019,5
26,Chubut,M,2019,19
26,Chubut,F,2020,3
26,Chubut,M,2020,4
26,Chubut,F,2021,12
26,Chubut,M,2021,28
26,Chubut,X,2021,9
26,Chubut,F,2022,15
26,Chubut,M,2022,24
26,Chubut,X,2022,21
26,Chubut,F,2023,14
26,Chubut,M,2023,31
26,Chubut,X,2023,17
26,Chubut,M,2024,2
26,Chubut,X,2024,5
NA,Ciudad Autónoma de Buenos Aires,F,2011,22
NA,Ciudad Autónoma de Buenos Aires,M,2011,3
NA,Ciudad Autónoma de Buenos Aires,F,2012,158
NA,Ciudad Autónoma de Buenos Aires,M,2012,42
NA,Ciudad Autónoma de Buenos Aires,F,2013,126
NA,Ciudad Autónoma de Buenos Aires,M,2013,14
NA,Ciudad Autónoma de Buenos Aires,F,2014,59
NA,Ciudad Autónoma de Buenos Aires,M,2014,10
NA,Ciudad Autónoma de Buenos Aires,F,2015,80
NA,Ciudad Autónoma de Buenos Aires,M,2015,15
NA,Ciudad Autónoma de Buenos Aires,F,2016,62
NA,Ciudad Autónoma de Buenos Aires,M,2016,17
NA,Ciudad Autónoma de Buenos Aires,F,2017,67
NA,Ciudad Autónoma de Buenos Aires,M,2017,28
NA,Ciudad Autónoma de Buenos Aires,F,2018,65
NA,Ciudad Autónoma de Buenos Aires,M,2018,71
NA,Ciudad Autónoma de Buenos Aires,F,2019,56
NA,Ciudad Autónoma de Buenos Aires,M,2019,123
NA,Ciudad Autónoma de Buenos Aires,F,2020,25
NA,Ciudad Autónoma de Buenos Aires,M,2020,53
NA,Ciudad Autónoma de Buenos Aires,F,2021,122
NA,Ciudad Autónoma de Buenos Aires,M,2021,136
