provincia_id,provincia_nombre,genero,edad_actual_grandes_grupos,cantidad
6,Buenos Aires,F,0 a 17,82
6,Buenos Aires,F,18 a 29,905
6,Buenos Aires,F,30 a 39,885
6,Buenos Aires,F,40 y mas,1344
6,Buenos Aires,M,0 a 17,185
6,Buenos Aires,M,18 a 29,2204
6,Buenos Aires,M,30 a 39,743
6,Buenos Aires,M,40 y mas,331
6,Buenos Aires,X,0 a 17,27
6,Buenos Aires,X,18 a 29,551
6,Buenos Aires,X,30 a 39,261
6,Buenos Aires,X,40 y mas,147
10,Catamarca,F,0 a 17,1
10,Catamarca,F,18 a 29,32
10,Catamarca,F,30 a 39,42
10,Catamarca,F,40 y mas,38
10,Catamarca,M,0 a 17,2
10,Catamarca,M,18 a 29,38
10,Catamarca,M,30 a 39,12
10,Catamarca,M,40 y mas,2
10,Catamarca,X,18 a 29,6
10,Catamarca,X,30 a 39,8
10,Catamarca,X,40 y mas,2
22,Chaco,F,0 a 17,2
22,Chaco,F,18 a 29,55
22,Chaco,F,30 a 39,58
22,Chaco,F,40 y mas,49
22,Chaco,M,0 a 17,6
22,Chaco,M,18 a 29,49
22,Chaco,M,30 a 39,26
22,Chaco,M,40 y mas,8
22,Chaco,X,18 a 29,7
22,Chaco,X,30 a 39,7
26,Chubut,F,0 a 17,4
26,Chubut,F,18 a 29,31
26,Chubut,F,30 a 39,31
26,Chubut,F,40 y mas,54
26,Chubut,M,0 a 17,14
26,Chubut,M,18 a 29,97
26,Chubut,M,30 a 39,41
26,Chubut,M,40 y mas,5
26,Chubut,X,0 a 17,3
26,Chubut,X,18 a 29,30
26,Chubut,X,30 a 39,12
26,Chubut,X,40 y mas,6
2,Ciudad Autónoma de Buenos Aires,F,0 a 17,17
2,Ciudad Autónoma de Buenos Aires,F,18 a 29,249
2,Ciudad Autónoma de Buenos Aires,F,30 a 39,366
2,Ciudad Autónoma de Buenos Aires,F,40 y mas,582
2,Ciudad Autónoma de Buenos Aires,M,0 a 17,35
2,Ciudad Autónoma de Buenos Aires,M,18 a 29,544
2,Ciudad Autónoma de Buenos Aires,M,30 a 39,291
2,Ciudad Autónoma de Buenos Aires,M,40 y mas,107
2,Ciudad Autónoma de Buenos Aires,X,0 a 17,7
2,Ciudad Autónoma de Buenos Aires,X,18 a 29,192
2,Ciudad Autónoma de Buenos Aires,X,30 a 39,139
2,Ciudad Autónoma de Buenos Aires,X,40 y mas,55
14,Córdoba,F,0 a 17,11
14,Córdoba,F,18 a 29,181
14,Córdoba,F,30 a 39,281
14,Córdoba,F,40 y mas,417
14,Córdoba,M,0 a 17,20
14,Córdoba,M,18 a 29,323
14,Córdoba,M,30 a 39,202
14,Córdoba,M,40 y mas,59
14,Córdoba,X,0 a 17,1
14,Córdoba,X,18 a 29,66
14,Córdoba,X,30 a 39,54
14,Córdoba,X,40 y mas,19
18,Corrientes,F,0 a 17,1
18,Corrientes,F,18 a 29,55
18,Corrientes,F,30 a 39,87
18,Corrientes,F,40 y mas,73
18,Corrientes,M,0 a 17,8
18,Corrientes,M,18 a 29,49
18,Corrientes,M,30 a 39,24
18,Corrientes,M,40 y mas,10
18,Corrientes,X,18 a 29,9
18,Corrientes,X,30 a 39,4
18,Corrientes,X,40 y mas,6
30,Entre Ríos,F,0 a 17,4
30,Entre Ríos,F,18 a 29,65
30,Entre Ríos,F,30 a 39,115
30,Entre Ríos,F,40 y mas,126
30,Entre Ríos,M,0 a 17,8
30,Entre Ríos,M,18 a 29,120
30,Entre Ríos,M,30 a 39,33
30,Entre Ríos,M,40 y mas,12
30,Entre Ríos,X,18 a 29,34
30,Entre Ríos,X,30 a 39,9
30,Entre Ríos,X,40 y mas,7
34,Formosa,F,0 a 17,1
34,Formosa,F,18 a 29,37
34,Formosa,F,30 a 39,43
34,Formosa,F,40 y mas,28
34,Formosa,M,18 a 29,22
34,Formosa,M,30 a 39,11
34,Formosa,M,40 y mas,9
34,Formosa,X,18 a 29,4
34,Formosa,X,40 y mas,3
38,Jujuy,F,0 a 17,3
38,Jujuy,F,18 a 29,56
38,Jujuy,F,30 a 39,80
38,Jujuy,F,40 y mas,84
38,Jujuy,M,0 a 17,3
38,Jujuy,M,18 a 29,57
