ANIO;OBJET_SOCEC_ID;INV_ID_PESOS_CORR;;;;;;;
2004;Agricultura;306;;;;;;;
2004;Cultura, recreación, religión y medios de comunicación;0;;;;;;;
2004;Defensa;11;;;;;;;
2004;Educación;0;;;;;;;
2004;Energía;33;;;;;;;
2004;Estructura, procesos y sistemas políticos y sociales;0;;;;;;;
2004;Estructuras y Relaciones Sociales;80;;;;;;;
2004;Exploración y explotación de la tierra;55;;;;;;;
2004;Exploración y explotación del espacio;52;;;;;;;
2004;Medio ambiente;78;;;;;;;
2004;Otra Investigación civil;83;;;;;;;
2004;Producción general de conocimiento;208;;;;;;;
2004;Producción y tecnología industrial;141;;;;;;;
2004;Salud;132;;;;;;;
2004;Transporte, telecomunicación y otras infraestructuras;33;;;;;;;
2005;Agricultura;378;;;;;;;
2005;Cultura, recreación, religión y medios de comunicación;0;;;;;;;
2005;Defensa;30;;;;;;;
2005;Educación;0;;;;;;;
2005;Energía;47;;;;;;;
2005;Estructura, procesos y sistemas políticos y sociales;0;;;;;;;
2005;Estructuras y Relaciones Sociales;134;;;;;;;
2005;Exploración y explotación de la tierra;56;;;;;;;
2005;Exploración y explotación del espacio;59;;;;;;;
2005;Medio ambiente;64;;;;;;;
2005;Otra Investigación civil;128;;;;;;;
2005;Producción general de conocimiento;318;;;;;;;
2005;Producción y tecnología industrial;138;;;;;;;
2005;Salud;197;;;;;;;
2005;Transporte, telecomunicación y otras infraestructuras;31;;;;;;;
2006;Agricultura;572;;;;;;;
2006;Cultura, recreación, religión y medios de comunicación;0;;;;;;;
2006;Defensa;36;;;;;;;
2006;Educación;0;;;;;;;
2006;Energía;79;;;;;;;
2006;Estructura, procesos y sistemas políticos y sociales;0;;;;;;;
2006;Estructuras y Relaciones Sociales;199;;;;;;;
2006;Exploración y explotación de la tierra;97;;;;;;;
2006;Exploración y explotación del espacio;111;;;;;;;
2006;Medio ambiente;99;;;;;;;
2006;Otra Investigación civil;251;;;;;;;
2006;Producción general de conocimiento;257;;;;;;;
2006;Producción y tecnología industrial;199;;;;;;;
2006;Salud;239;;;;;;;
2006;Transporte, telecomunicación y otras infraestructuras;49;;;;;;;
2007;Agricultura;654;;;;;;;
