,anio,grupo_etario_madre,cantidad
0,2012,10-14,3479
1,2012,15-19,117773
2,2012,20-24,177459
3,2012,25-29,161927
4,2012,30-34,154416
5,2012,35-39,84115
6,2012,40-44,20661
7,2012,45-49,1246
8,2013,10-14,3593
9,2013,15-19,118438
10,2013,20-24,182040
11,2013,25-29,166232
12,2013,30-34,155076
13,2013,35-39,87999
14,2013,40-44,21300
15,2013,45-49,1276
16,2014,10-14,3556
17,2014,15-19,120983
18,2014,20-24,191246
19,2014,25-29,175412
20,2014,30-34,157940
21,2014,35-39,93736
22,2014,40-44,22581
23,2014,45-49,1355
24,2015,10-14,3193
25,2015,15-19,111844
26,2015,20-24,185980
27,2015,25-29,171753
28,2015,30-34,152739
29,2015,35-39,96157
30,2015,40-44,23511
31,2015,45-49,1456
32,2016,10-14,2763
33,2016,15-19,99738
34,2016,20-24,176767
35,2016,25-29,168215
36,2016,30-34,147040
37,2016,35-39,94125
38,2016,40-44,23448
39,2016,45-49,1519
40,2017,10-14,2581
41,2017,15-19,91757
42,2017,20-24,169117
43,2017,25-29,166225
44,2017,30-34,144945
45,2017,35-39,93855
46,2017,40-44,24074
47,2017,45-49,1593
48,2018,10-14,2403
49,2018,15-19,84478
50,2018,20-24,164079
51,2018,25-29,163782
52,2018,30-34,142415
53,2018,35-39,92172
54,2018,40-44,24982
55,2018,45-49,1782
56,2019,10-14,1924
57,2019,15-19,69360
58,2019,20-24,144529
59,2019,25-29,150789
60,2019,30-34,133573
61,2019,35-39,86114
62,2019,40-44,24840
63,2019,45-49,1799
64,2020,10-14,1458
65,2020,15-19,55890
66,2020,20-24,126448
67,2020,25-29,138233
68,2020,30-34,124304
69,2020,35-39,79914
70,2020,40-44,24063
71,2020,45-49,1750
72,2021,10-14,1386
73,2021,15-19,46414
74,2021,20-24,112469
75,2021,25-29,129528
76,2021,30-34,120700
77,2021,35-39,77522
78,2021,40-44,22855
79,2021,45-49,1506
80,2022,10-14,1050
81,2022,15-19,42639
82,2022,20-24,105530
83,2022,25-29,122830
84,2022,30-34,113801
85,2022,35-39,73394
86,2022,40-44,22173
87,2022,45-49,1789
88,2023,10-14,1000
89,2023,15-19,38895
90,2023,20-24,99290
91,2023,25-29,112614
92,2023,30-34,102732
93,2023,35-39,67001
94,2023,40-44,20259
95,2023,45-49,1747
96,2024,10-14,817
97,2024,15-19,33312
98,2024,20-24,87942
99,2024,25-29,101402
100,2024,30-34,92410
101,2024,35-39,61260
102,2024,40-44,18038
103,2024,45-49,1751
